subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
2,1,0,fr,3097,fr_localizer-15_0p82.wav,1500
2,2,0,fr,2792,fr_localizer-06_0p82.wav,5897
2,3,0,fr,3225,fr_localizer-11_0p82.wav,9989
2,4,1,wol,3319,wol3187_22050_1p15_LPF.wav,21214
2,5,1,wol,2994,wol3173_22050_1p15_LPF.wav,25833
2,6,1,wol,3122,wol3165_22050_1p15_LPF.wav,30127
2,7,2,fr,3097,fr_localizer-15_0p82.wav,41249
2,8,2,fr,3384,fr_localizer-19.wav,45646
2,9,2,fr,3796,fr_localizer-23_0p82.wav,50330
2,10,3,wol,3059,wol3188_22050_1p15_LPF.wav,62126
2,11,3,wol,2860,wol3157_22050_1p15_LPF.wav,66485
2,12,3,wol,3411,wol3175_22050_1p15_LPF.wav,70645
2,13,4,fr,3047,fr_localizer-03-2_0p82.wav,82056
2,14,4,fr,4238,fr_localizer-22_0p82.wav,86403
2,15,4,fr,3097,fr_localizer-15_0p82.wav,91941
2,16,5,wol,2881,wol3162_22050_1p15_LPF.wav,103038
2,17,5,wol,3636,wol3206_22050_1p15_LPF.wav,107219
2,18,5,wol,3496,wol3192_22050_1p15_LPF.wav,112155
2,19,6,fr,4238,fr_localizer-22_0p82.wav,123651
2,20,6,fr,2860,fr_localizer-05_0p82.wav,129189
2,21,6,fr,2728,fr_localizer-07-2_0p82.wav,133349
2,22,7,wol,3411,wol3175_22050_1p15_LPF.wav,144077
2,23,7,wol,3636,wol3206_22050_1p15_LPF.wav,148788
2,24,7,wol,3496,wol3192_22050_1p15_LPF.wav,153724
2,25,8,fr,2719,fr_localizer-01_0p82.wav,165220
2,26,8,fr,2846,fr_localizer-04_0p82.wav,169239
2,27,8,fr,4238,fr_localizer-22_0p82.wav,173385
2,28,9,wol,3122,wol3165_22050_1p15_LPF.wav,185623
2,29,9,wol,3200,wol3168_22050_1p15_LPF.wav,190045
2,30,9,wol,2467,wol3156_22050_1p15_LPF.wav,194545
2,31,10,fr,3380,fr_localizer-17_0p82.wav,205012
2,32,10,fr,3065,fr_localizer-16_0p82.wav,209692
2,33,10,fr,3047,fr_localizer-03-2_0p82.wav,214057
2,34,11,wol,2869,wol3154_22050_1p15_LPF.wav,225104
2,35,11,wol,3122,wol3165_22050_1p15_LPF.wav,229273
2,36,11,wol,2860,wol3157_22050_1p15_LPF.wav,233695
2,37,12,fr,2728,fr_localizer-07-2_0p82.wav,244555
2,38,12,fr,3097,fr_localizer-15_0p82.wav,248583
2,39,12,fr,2846,fr_localizer-04_0p82.wav,252980
2,40,13,wol,3411,wol3175_22050_1p15_LPF.wav,263826
2,41,13,wol,3336,wol3167_22050_1p15_LPF.wav,268537
2,42,13,wol,3122,wol3165_22050_1p15_LPF.wav,273173
2,43,14,fr,3380,fr_localizer-17_0p82.wav,284295
2,44,14,fr,2792,fr_localizer-06_0p82.wav,288975
2,45,14,fr,3384,fr_localizer-19.wav,293067
2,46,15,wol,2729,wol3158_22050_1p15_LPF.wav,304451
2,47,15,wol,2467,wol3156_22050_1p15_LPF.wav,308480
2,48,15,wol,3494,wol3184_22050_1p15_LPF.wav,312247
2,49,16,,5000,silent-1sec.wav,315746

